PM2.5 (ug/m3),PM10 (ug/m3),PM1 (ug/m3),CO2 (ppm),Temperature (Celsius),Humidity (%),Pressure (pascal),Particle Count,hour,day,month,day_of_week,AQI,AQI Category
21,34,16,420,22,68,83315,1967,21,31,12,Tuesday,70.0,Unhealthy
20,31,15,421,21,69,83260,1745,22,31,12,Tuesday,66.66666666666666,Unhealthy
18,29,14,420,21,69,83207,1599,23,31,12,Tuesday,60.0,Unhealthy
16,27,13,420,21,70,83182,1469,0,1,1,Wednesday,53.333333333333336,Unhealthy
18,29,14,429,21,71,83193,1657,1,1,1,Wednesday,60.0,Unhealthy
19,30,14,440,21,71,83219,1663,2,1,1,Wednesday,63.33333333333333,Unhealthy
16,26,13,444,20,71,83226,1491,3,1,1,Wednesday,53.333333333333336,Unhealthy
15,23,12,433,22,65,83263,1365,4,1,1,Wednesday,50.0,Unhealthy
13,20,10,409,25,57,83309,1168,5,1,1,Wednesday,43.333333333333336,Unhealthy for Sensitive Groups
12,19,9,406,26,51,83316,1059,6,1,1,Wednesday,40.0,Unhealthy for Sensitive Groups
11,18,9,406,28,45,83281,997,7,1,1,Wednesday,36.666666666666664,Unhealthy for Sensitive Groups
10,18,8,404,28,43,83239,955,8,1,1,Wednesday,33.33333333333333,Unhealthy for Sensitive Groups
10,17,8,403,29,42,83157,935,9,1,1,Wednesday,33.33333333333333,Unhealthy for Sensitive Groups
11,18,9,405,29,42,83074,992,10,1,1,Wednesday,36.666666666666664,Unhealthy for Sensitive Groups
11,19,9,405,28,44,83006,996,11,1,1,Wednesday,36.666666666666664,Unhealthy for Sensitive Groups
11,19,9,403,28,45,82953,1010,12,1,1,Wednesday,36.666666666666664,Unhealthy for Sensitive Groups
10,19,8,403,27,48,82945,941,13,1,1,Wednesday,33.33333333333333,Unhealthy for Sensitive Groups
11,19,9,406,25,52,82984,993,14,1,1,Wednesday,36.666666666666664,Unhealthy for Sensitive Groups
12,21,10,409,24,57,83045,1074,15,1,1,Wednesday,40.0,Unhealthy for Sensitive Groups
13,23,10,413,23,60,83129,1190,16,1,1,Wednesday,43.333333333333336,Unhealthy for Sensitive Groups
12,21,10,414,23,62,83206,1129,17,1,1,Wednesday,40.0,Unhealthy for Sensitive Groups
12,20,10,415,22,63,83273,1120,18,1,1,Wednesday,40.0,Unhealthy for Sensitive Groups
15,24,12,420,22,64,83334,1345,19,1,1,Wednesday,50.0,Unhealthy
13,22,10,419,22,64,83327,1202,20,1,1,Wednesday,43.333333333333336,Unhealthy for Sensitive Groups
13,20,10,419,22,65,83322,1151,21,1,1,Wednesday,43.333333333333336,Unhealthy for Sensitive Groups
10,16,8,414,21,69,83276,934,22,1,1,Wednesday,33.33333333333333,Unhealthy for Sensitive Groups
10,16,8,417,21,69,83225,942,23,1,1,Wednesday,33.33333333333333,Unhealthy for Sensitive Groups
10,17,8,422,20,70,83179,960,0,2,1,Thursday,33.33333333333333,Unhealthy for Sensitive Groups
10,16,8,427,20,70,83181,912,1,2,1,Thursday,33.33333333333333,Unhealthy for Sensitive Groups
9,15,7,441,20,69,83208,882,2,2,1,Thursday,30.0,Unhealthy for Sensitive Groups
11,16,9,451,19,69,83238,992,3,2,1,Thursday,36.666666666666664,Unhealthy for Sensitive Groups
12,19,10,439,22,63,83306,1115,4,2,1,Thursday,40.0,Unhealthy for Sensitive Groups
10,15,8,412,25,56,83342,903,5,2,1,Thursday,33.33333333333333,Unhealthy for Sensitive Groups
9,14,7,410,25,53,83350,865,6,2,1,Thursday,30.0,Unhealthy for Sensitive Groups
9,15,7,407,26,47,83336,826,7,2,1,Thursday,30.0,Unhealthy for Sensitive Groups
10,16,7,407,27,43,83272,882,8,2,1,Thursday,33.33333333333333,Unhealthy for Sensitive Groups
9,16,7,405,28,42,83206,846,9,2,1,Thursday,30.0,Unhealthy for Sensitive Groups
8,14,6,404,28,39,83117,730,10,2,1,Thursday,26.666666666666668,Moderate
7,12,6,403,28,38,83037,647,11,2,1,Thursday,23.333333333333332,Moderate
8,16,6,403,27,42,82999,689,12,2,1,Thursday,26.666666666666668,Moderate
7,14,6,404,26,42,83004,656,13,2,1,Thursday,23.333333333333332,Moderate
8,14,6,406,25,45,83043,695,14,2,1,Thursday,26.666666666666668,Moderate
8,15,6,412,24,47,83103,753,15,2,1,Thursday,26.666666666666668,Moderate
8,15,6,415,23,49,83149,759,16,2,1,Thursday,26.666666666666668,Moderate
12,19,9,419,22,54,83225,1060,17,2,1,Thursday,40.0,Unhealthy for Sensitive Groups
15,24,12,421,21,57,83303,1341,18,2,1,Thursday,50.0,Unhealthy
15,23,12,424,21,60,83343,1327,19,2,1,Thursday,50.0,Unhealthy
14,23,11,429,20,62,83351,1313,20,2,1,Thursday,46.666666666666664,Unhealthy for Sensitive Groups
13,20,10,428,20,64,83341,1171,21,2,1,Thursday,43.333333333333336,Unhealthy for Sensitive Groups
12,18,9,432,19,67,83297,1064,22,2,1,Thursday,40.0,Unhealthy for Sensitive Groups
9,15,7,435,19,67,83264,875,23,2,1,Thursday,30.0,Unhealthy for Sensitive Groups
8,12,6,426,19,68,83242,737,0,3,1,Friday,26.666666666666668,Moderate
8,13,6,424,19,68,83215,757,1,3,1,Friday,26.666666666666668,Moderate
9,13,7,435,19,68,83234,800,2,3,1,Friday,30.0,Unhealthy for Sensitive Groups
8,13,6,449,19,68,83297,793,3,3,1,Friday,26.666666666666668,Moderate
10,15,8,447,20,66,83383,886,4,3,1,Friday,33.33333333333333,Unhealthy for Sensitive Groups
14,22,11,418,23,58,83418,1271,5,3,1,Friday,46.666666666666664,Unhealthy for Sensitive Groups
14,21,11,413,25,52,83410,1256,6,3,1,Friday,46.666666666666664,Unhealthy for Sensitive Groups
9,15,7,409,25,50,83390,863,7,3,1,Friday,30.0,Unhealthy for Sensitive Groups
9,14,7,407,27,45,83326,816,8,3,1,Friday,30.0,Unhealthy for Sensitive Groups
8,14,6,406,28,41,83261,755,9,3,1,Friday,26.666666666666668,Moderate
7,13,6,405,28,39,83174,670,10,3,1,Friday,23.333333333333332,Moderate
7,13,5,405,27,39,83088,633,11,3,1,Friday,23.333333333333332,Moderate
6,11,5,403,27,39,83041,542,12,3,1,Friday,20.0,Moderate
6,11,4,404,26,39,83048,524,13,3,1,Friday,20.0,Moderate
6,11,5,406,25,43,83084,568,14,3,1,Friday,20.0,Moderate
8,13,6,411,24,48,83139,735,15,3,1,Friday,26.666666666666668,Moderate
9,15,7,415,23,54,83201,798,16,3,1,Friday,30.0,Unhealthy for Sensitive Groups
12,21,10,418,22,57,83282,1084,17,3,1,Friday,40.0,Unhealthy for Sensitive Groups
15,24,11,421,21,59,83330,1325,18,3,1,Friday,50.0,Unhealthy
16,25,13,425,21,60,83359,1475,19,3,1,Friday,53.333333333333336,Unhealthy
15,23,12,430,21,62,83362,1348,20,3,1,Friday,50.0,Unhealthy
12,19,10,426,21,62,83334,1096,21,3,1,Friday,40.0,Unhealthy for Sensitive Groups
10,16,8,422,21,63,83275,968,22,3,1,Friday,33.33333333333333,Unhealthy for Sensitive Groups
9,14,7,419,21,64,83234,817,23,3,1,Friday,30.0,Unhealthy for Sensitive Groups
9,14,7,420,21,64,83256,798,0,4,1,Saturday,30.0,Unhealthy for Sensitive Groups
9,14,7,421,20,64,83286,812,1,4,1,Saturday,30.0,Unhealthy for Sensitive Groups
9,15,7,426,20,68,83309,863,2,4,1,Saturday,30.0,Unhealthy for Sensitive Groups
11,17,9,432,20,70,83357,1012,3,4,1,Saturday,36.666666666666664,Unhealthy for Sensitive Groups
13,19,10,430,20,69,83398,1148,4,4,1,Saturday,43.333333333333336,Unhealthy for Sensitive Groups
13,21,10,422,21,69,83446,1198,5,4,1,Saturday,43.333333333333336,Unhealthy for Sensitive Groups
12,18,10,413,23,63,83432,1096,6,4,1,Saturday,40.0,Unhealthy for Sensitive Groups
10,15,8,406,25,56,83396,920,7,4,1,Saturday,33.33333333333333,Unhealthy for Sensitive Groups
8,13,7,404,26,50,83326,778,8,4,1,Saturday,26.666666666666668,Moderate
7,10,6,402,27,43,83243,628,9,4,1,Saturday,23.333333333333332,Moderate
6,10,5,403,28,41,83152,591,10,4,1,Saturday,20.0,Moderate
7,11,6,402,28,41,83068,661,11,4,1,Saturday,23.333333333333332,Moderate
8,13,6,402,27,44,83022,732,12,4,1,Saturday,26.666666666666668,Moderate
7,12,6,402,27,46,83039,668,13,4,1,Saturday,23.333333333333332,Moderate
8,13,6,404,25,49,83055,715,14,4,1,Saturday,26.666666666666668,Moderate
8,14,6,408,24,53,83108,732,15,4,1,Saturday,26.666666666666668,Moderate
9,15,7,411,23,55,83171,817,16,4,1,Saturday,30.0,Unhealthy for Sensitive Groups
10,17,8,415,23,56,83240,920,17,4,1,Saturday,33.33333333333333,Unhealthy for Sensitive Groups
9,15,7,417,22,58,83296,853,18,4,1,Saturday,30.0,Unhealthy for Sensitive Groups
11,18,9,419,22,60,83344,1012,19,4,1,Saturday,36.666666666666664,Unhealthy for Sensitive Groups
11,17,9,421,22,61,83346,1024,20,4,1,Saturday,36.666666666666664,Unhealthy for Sensitive Groups
11,17,9,422,21,61,83322,984,21,4,1,Saturday,36.666666666666664,Unhealthy for Sensitive Groups
10,15,8,422,21,61,83255,893,22,4,1,Saturday,33.33333333333333,Unhealthy for Sensitive Groups
8,14,6,422,21,62,83207,789,23,4,1,Saturday,26.666666666666668,Moderate
8,13,6,421,21,63,83190,762,0,5,1,Sunday,26.666666666666668,Moderate
8,13,6,417,21,63,83194,748,1,5,1,Sunday,26.666666666666668,Moderate
8,14,6,424,20,65,83236,776,2,5,1,Sunday,26.666666666666668,Moderate
10,16,8,426,19,67,83301,906,3,5,1,Sunday,33.33333333333333,Unhealthy for Sensitive Groups
12,20,10,425,20,68,83361,1132,4,5,1,Sunday,40.0,Unhealthy for Sensitive Groups
15,23,12,421,20,68,83405,1321,5,5,1,Sunday,50.0,Unhealthy
13,22,10,417,21,67,83421,1202,6,5,1,Sunday,43.333333333333336,Unhealthy for Sensitive Groups
11,19,9,411,24,56,83384,989,7,5,1,Sunday,36.666666666666664,Unhealthy for Sensitive Groups
9,15,6,407,26,47,83311,790,8,5,1,Sunday,30.0,Unhealthy for Sensitive Groups
9,15,6,405,27,45,83228,763,9,5,1,Sunday,30.0,Unhealthy for Sensitive Groups
8,14,6,404,28,42,83132,745,10,5,1,Sunday,26.666666666666668,Moderate
8,14,6,403,28,42,83055,741,11,5,1,Sunday,26.666666666666668,Moderate
9,16,6,402,28,45,83005,770,12,5,1,Sunday,30.0,Unhealthy for Sensitive Groups
10,18,7,403,26,47,82993,825,13,5,1,Sunday,33.33333333333333,Unhealthy for Sensitive Groups
11,21,7,404,25,51,83020,859,14,5,1,Sunday,36.666666666666664,Unhealthy for Sensitive Groups
13,24,9,408,24,56,83076,1015,15,5,1,Sunday,43.333333333333336,Unhealthy for Sensitive Groups
14,26,10,412,23,58,83139,1161,16,5,1,Sunday,46.666666666666664,Unhealthy for Sensitive Groups
16,28,11,414,22,61,83200,1283,17,5,1,Sunday,53.333333333333336,Unhealthy
16,28,12,417,21,63,83261,1336,18,5,1,Sunday,53.333333333333336,Unhealthy
19,33,14,420,21,64,83288,1588,19,5,1,Sunday,63.33333333333333,Unhealthy
18,31,13,424,20,65,83297,1489,20,5,1,Sunday,60.0,Unhealthy
21,36,15,433,20,65,83282,1849,21,5,1,Sunday,70.0,Unhealthy
21,35,16,449,19,67,83236,1891,22,5,1,Sunday,70.0,Unhealthy
17,28,13,451,19,67,83194,1469,23,5,1,Sunday,56.666666666666664,Unhealthy
14,25,11,455,18,67,83172,1271,0,6,1,Monday,46.666666666666664,Unhealthy for Sensitive Groups
13,23,10,454,18,68,83198,1173,1,6,1,Monday,43.333333333333336,Unhealthy for Sensitive Groups
13,23,10,451,17,68,83227,1134,2,6,1,Monday,43.333333333333336,Unhealthy for Sensitive Groups
13,23,10,452,17,68,83266,1124,3,6,1,Monday,43.333333333333336,Unhealthy for Sensitive Groups
19,35,14,445,20,63,83338,1642,4,6,1,Monday,63.33333333333333,Unhealthy
16,30,11,416,23,54,83387,1255,5,6,1,Monday,53.333333333333336,Unhealthy
14,27,10,409,25,49,83392,1087,6,6,1,Monday,46.666666666666664,Unhealthy for Sensitive Groups
15,28,10,409,26,46,83370,1158,7,6,1,Monday,50.0,Unhealthy
15,28,10,408,27,42,83304,1112,8,6,1,Monday,50.0,Unhealthy
17,32,11,409,27,43,83228,1277,9,6,1,Monday,56.666666666666664,Unhealthy
14,29,9,405,27,42,83148,1060,10,6,1,Monday,46.666666666666664,Unhealthy for Sensitive Groups
14,28,9,404,27,43,83076,1042,11,6,1,Monday,46.666666666666664,Unhealthy for Sensitive Groups
14,28,9,403,27,45,83033,1073,12,6,1,Monday,46.666666666666664,Unhealthy for Sensitive Groups
13,27,8,404,26,45,83027,948,13,6,1,Monday,43.333333333333336,Unhealthy for Sensitive Groups
13,26,8,407,24,47,83051,931,14,6,1,Monday,43.333333333333336,Unhealthy for Sensitive Groups
17,31,12,411,23,50,83084,1438,15,6,1,Monday,56.666666666666664,Unhealthy
16,30,11,416,22,53,83170,1270,16,6,1,Monday,53.333333333333336,Unhealthy
19,35,13,418,22,56,83258,1475,17,6,1,Monday,63.33333333333333,Unhealthy
29,50,20,419,21,58,83326,2512,18,6,1,Monday,96.66666666666667,Unhealthy
21,38,14,422,20,61,83364,1709,19,6,1,Monday,70.0,Unhealthy
15,28,11,422,20,60,83352,1212,20,6,1,Monday,50.0,Unhealthy
13,26,9,430,19,61,83326,1071,21,6,1,Monday,43.333333333333336,Unhealthy for Sensitive Groups
13,24,9,433,19,62,83287,1043,22,6,1,Monday,43.333333333333336,Unhealthy for Sensitive Groups
12,22,8,443,18,64,83252,974,23,6,1,Monday,40.0,Unhealthy for Sensitive Groups
11,21,8,448,18,64,83241,927,0,7,1,Tuesday,36.666666666666664,Unhealthy for Sensitive Groups
11,20,8,449,18,65,83260,927,1,7,1,Tuesday,36.666666666666664,Unhealthy for Sensitive Groups
11,21,8,455,17,65,83291,975,2,7,1,Tuesday,36.666666666666664,Unhealthy for Sensitive Groups
13,23,10,466,17,65,83324,1135,3,7,1,Tuesday,43.333333333333336,Unhealthy for Sensitive Groups
20,34,14,465,19,61,83375,1721,4,7,1,Tuesday,66.66666666666666,Unhealthy
15,28,10,414,23,53,83408,1213,5,7,1,Tuesday,50.0,Unhealthy
11,22,7,409,25,47,83419,854,6,7,1,Tuesday,36.666666666666664,Unhealthy for Sensitive Groups
12,22,8,408,27,43,83378,981,7,7,1,Tuesday,40.0,Unhealthy for Sensitive Groups
11,21,8,407,28,37,83311,922,8,7,1,Tuesday,36.666666666666664,Unhealthy for Sensitive Groups
10,19,7,406,29,32,83224,789,9,7,1,Tuesday,33.33333333333333,Unhealthy for Sensitive Groups
10,19,7,405,30,30,83112,809,10,7,1,Tuesday,33.33333333333333,Unhealthy for Sensitive Groups
10,20,7,405,30,29,83028,823,11,7,1,Tuesday,33.33333333333333,Unhealthy for Sensitive Groups
10,19,6,405,29,29,82980,754,12,7,1,Tuesday,33.33333333333333,Unhealthy for Sensitive Groups
9,17,6,404,28,31,82980,670,13,7,1,Tuesday,30.0,Unhealthy for Sensitive Groups
8,17,6,408,26,33,83012,651,14,7,1,Tuesday,26.666666666666668,Moderate
11,23,7,412,25,38,83062,883,15,7,1,Tuesday,36.666666666666664,Unhealthy for Sensitive Groups
13,26,9,416,23,45,83129,1049,16,7,1,Tuesday,43.333333333333336,Unhealthy for Sensitive Groups
15,27,11,419,22,51,83207,1251,17,7,1,Tuesday,50.0,Unhealthy
19,34,14,420,21,56,83275,1645,18,7,1,Tuesday,63.33333333333333,Unhealthy
22,39,16,423,21,60,83301,1875,19,7,1,Tuesday,73.33333333333333,Unhealthy
16,29,12,421,21,62,83293,1346,20,7,1,Tuesday,53.333333333333336,Unhealthy
14,26,10,422,20,63,83259,1169,21,7,1,Tuesday,46.666666666666664,Unhealthy for Sensitive Groups
13,23,10,432,20,64,83215,1121,22,7,1,Tuesday,43.333333333333336,Unhealthy for Sensitive Groups
12,22,10,444,19,65,83180,1093,23,7,1,Tuesday,40.0,Unhealthy for Sensitive Groups
12,20,10,457,19,65,83183,1066,0,8,1,Wednesday,40.0,Unhealthy for Sensitive Groups
12,19,10,467,18,66,83208,1064,1,8,1,Wednesday,40.0,Unhealthy for Sensitive Groups
13,22,10,470,18,67,83240,1165,2,8,1,Wednesday,43.333333333333336,Unhealthy for Sensitive Groups
15,26,11,468,17,67,83298,1312,3,8,1,Wednesday,50.0,Unhealthy
19,31,14,464,20,62,83361,1669,4,8,1,Wednesday,63.33333333333333,Unhealthy
17,30,12,436,24,54,83402,1442,5,8,1,Wednesday,56.666666666666664,Unhealthy
11,20,8,413,26,47,83398,940,6,8,1,Wednesday,36.666666666666664,Unhealthy for Sensitive Groups
13,23,9,406,27,44,83344,1072,7,8,1,Wednesday,43.333333333333336,Unhealthy for Sensitive Groups
15,28,11,407,29,40,83264,1262,8,8,1,Wednesday,50.0,Unhealthy
15,28,10,406,30,36,83168,1213,9,8,1,Wednesday,50.0,Unhealthy
10,19,7,405,30,31,83066,846,10,8,1,Wednesday,33.33333333333333,Unhealthy for Sensitive Groups
9,17,6,406,31,28,82971,730,11,8,1,Wednesday,30.0,Unhealthy for Sensitive Groups
8,16,6,407,30,28,82915,657,12,8,1,Wednesday,26.666666666666668,Moderate
7,14,5,406,29,29,82906,548,13,8,1,Wednesday,23.333333333333332,Moderate
8,17,6,408,28,35,82923,679,14,8,1,Wednesday,26.666666666666668,Moderate
9,18,6,411,26,38,82967,747,15,8,1,Wednesday,30.0,Unhealthy for Sensitive Groups
11,21,9,416,24,42,83045,990,16,8,1,Wednesday,36.666666666666664,Unhealthy for Sensitive Groups
16,27,12,428,23,47,83117,1362,17,8,1,Wednesday,53.333333333333336,Unhealthy
19,32,14,432,22,51,83165,1666,18,8,1,Wednesday,63.33333333333333,Unhealthy
17,29,14,433,21,53,83214,1535,19,8,1,Wednesday,56.666666666666664,Unhealthy
16,28,12,425,22,56,83224,1401,20,8,1,Wednesday,53.333333333333336,Unhealthy
11,20,9,421,21,61,83184,1001,21,8,1,Wednesday,36.666666666666664,Unhealthy for Sensitive Groups
11,20,8,423,21,63,83144,972,22,8,1,Wednesday,36.666666666666664,Unhealthy for Sensitive Groups
11,18,8,429,20,64,83132,958,23,8,1,Wednesday,36.666666666666664,Unhealthy for Sensitive Groups
10,16,7,432,20,65,83125,879,0,9,1,Thursday,33.33333333333333,Unhealthy for Sensitive Groups
8,15,6,434,20,65,83141,775,1,9,1,Thursday,26.666666666666668,Moderate
8,13,6,440,19,67,83160,743,2,9,1,Thursday,26.666666666666668,Moderate
26,61,11,459,19,67,83218,1199,3,9,1,Thursday,86.66666666666667,Unhealthy
19,38,12,451,21,64,83278,1375,4,9,1,Thursday,63.33333333333333,Unhealthy
11,19,8,414,24,56,83324,966,5,9,1,Thursday,36.666666666666664,Unhealthy for Sensitive Groups
8,14,6,406,27,50,83321,671,6,9,1,Thursday,26.666666666666668,Moderate
9,16,6,405,28,44,83280,787,7,9,1,Thursday,30.0,Unhealthy for Sensitive Groups
11,20,8,404,29,41,83208,972,8,9,1,Thursday,36.666666666666664,Unhealthy for Sensitive Groups
15,27,11,406,30,40,83102,1290,9,9,1,Thursday,50.0,Unhealthy
15,26,11,406,30,39,83002,1221,10,9,1,Thursday,50.0,Unhealthy
12,21,9,405,31,37,82921,1016,11,9,1,Thursday,40.0,Unhealthy for Sensitive Groups
10,20,7,405,30,38,82871,867,12,9,1,Thursday,33.33333333333333,Unhealthy for Sensitive Groups
9,17,6,406,29,40,82879,750,13,9,1,Thursday,30.0,Unhealthy for Sensitive Groups
9,19,6,410,27,42,82918,774,14,9,1,Thursday,30.0,Unhealthy for Sensitive Groups
10,20,7,414,26,47,82993,845,15,9,1,Thursday,33.33333333333333,Unhealthy for Sensitive Groups
10,19,7,414,24,53,83056,847,16,9,1,Thursday,33.33333333333333,Unhealthy for Sensitive Groups
11,21,8,417,24,55,83143,970,17,9,1,Thursday,36.666666666666664,Unhealthy for Sensitive Groups
13,24,9,419,23,58,83214,1105,18,9,1,Thursday,43.333333333333336,Unhealthy for Sensitive Groups
9,16,7,419,23,60,83279,835,19,9,1,Thursday,30.0,Unhealthy for Sensitive Groups
8,13,6,420,23,61,83308,734,20,9,1,Thursday,26.666666666666668,Moderate
8,14,6,420,22,63,83257,737,21,9,1,Thursday,26.666666666666668,Moderate
8,13,6,421,22,64,83200,725,22,9,1,Thursday,26.666666666666668,Moderate
8,12,6,426,22,64,83160,723,23,9,1,Thursday,26.666666666666668,Moderate
8,13,6,425,22,65,83132,737,0,10,1,Friday,26.666666666666668,Moderate
9,14,7,426,21,66,83175,782,1,10,1,Friday,30.0,Unhealthy for Sensitive Groups
8,14,6,433,21,66,83233,785,2,10,1,Friday,26.666666666666668,Moderate
10,16,8,433,21,69,83309,901,3,10,1,Friday,33.33333333333333,Unhealthy for Sensitive Groups
15,26,12,436,21,68,83397,1362,4,10,1,Friday,50.0,Unhealthy
18,30,13,426,22,66,83431,1487,5,10,1,Friday,60.0,Unhealthy
13,22,10,415,24,62,83443,1160,6,10,1,Friday,43.333333333333336,Unhealthy for Sensitive Groups
11,18,9,410,25,57,83403,1008,7,10,1,Friday,36.666666666666664,Unhealthy for Sensitive Groups
10,17,8,409,27,50,83335,915,8,10,1,Friday,33.33333333333333,Unhealthy for Sensitive Groups
11,17,8,407,29,45,83255,964,9,10,1,Friday,36.666666666666664,Unhealthy for Sensitive Groups
9,16,7,406,29,44,83126,836,10,10,1,Friday,30.0,Unhealthy for Sensitive Groups
8,15,6,405,29,41,83038,704,11,10,1,Friday,26.666666666666668,Moderate
9,17,6,406,28,44,82984,631,12,10,1,Friday,30.0,Unhealthy for Sensitive Groups
8,15,6,406,27,44,82982,638,13,10,1,Friday,26.666666666666668,Moderate
8,15,6,407,25,50,83026,633,14,10,1,Friday,26.666666666666668,Moderate
8,15,6,410,24,55,83084,702,15,10,1,Friday,26.666666666666668,Moderate
10,18,8,413,23,61,83183,901,16,10,1,Friday,33.33333333333333,Unhealthy for Sensitive Groups
12,21,10,418,23,64,83245,1106,17,10,1,Friday,40.0,Unhealthy for Sensitive Groups
12,21,10,421,22,66,83305,1105,18,10,1,Friday,40.0,Unhealthy for Sensitive Groups
12,20,10,423,22,67,83379,1115,19,10,1,Friday,40.0,Unhealthy for Sensitive Groups
11,19,8,420,22,69,83382,971,20,10,1,Friday,36.666666666666664,Unhealthy for Sensitive Groups
9,16,7,418,21,73,83368,854,21,10,1,Friday,30.0,Unhealthy for Sensitive Groups
9,15,7,418,20,74,83334,803,22,10,1,Friday,30.0,Unhealthy for Sensitive Groups
7,12,6,418,20,74,83299,699,23,10,1,Friday,23.333333333333332,Moderate
7,12,6,418,20,74,83268,683,0,11,1,Saturday,23.333333333333332,Moderate
8,13,6,421,20,74,83264,763,1,11,1,Saturday,26.666666666666668,Moderate
9,14,7,422,20,74,83307,817,2,11,1,Saturday,30.0,Unhealthy for Sensitive Groups
8,12,6,428,20,72,83373,727,3,11,1,Saturday,26.666666666666668,Moderate
9,13,7,425,21,70,83440,792,4,11,1,Saturday,30.0,Unhealthy for Sensitive Groups
7,12,6,415,24,59,83455,704,5,11,1,Saturday,23.333333333333332,Moderate
5,10,4,411,25,53,83448,510,6,11,1,Saturday,16.666666666666664,Moderate
6,10,5,411,27,46,83420,578,7,11,1,Saturday,20.0,Moderate
8,13,6,410,29,43,83361,731,8,11,1,Saturday,26.666666666666668,Moderate
10,18,8,409,29,41,83280,939,9,11,1,Saturday,33.33333333333333,Unhealthy for Sensitive Groups
8,15,6,407,29,40,83177,761,10,11,1,Saturday,26.666666666666668,Moderate
7,13,6,406,29,39,83081,682,11,11,1,Saturday,23.333333333333332,Moderate
7,12,5,406,29,39,83022,623,12,11,1,Saturday,23.333333333333332,Moderate
6,12,5,406,28,41,83002,562,13,11,1,Saturday,20.0,Moderate
5,11,4,408,27,44,83011,508,14,11,1,Saturday,16.666666666666664,Moderate
7,13,6,412,25,48,83059,631,15,11,1,Saturday,23.333333333333332,Moderate
11,19,8,418,25,51,83108,957,16,11,1,Saturday,36.666666666666664,Unhealthy for Sensitive Groups
15,24,12,418,24,51,83157,1381,17,11,1,Saturday,50.0,Unhealthy
15,24,12,423,24,54,83231,1366,18,11,1,Saturday,50.0,Unhealthy
15,24,12,424,23,60,83277,1335,19,11,1,Saturday,50.0,Unhealthy
17,26,13,428,22,66,83308,1502,20,11,1,Saturday,56.666666666666664,Unhealthy
11,19,9,424,22,66,83303,1024,21,11,1,Saturday,36.666666666666664,Unhealthy for Sensitive Groups
7,13,6,418,22,67,83256,655,22,11,1,Saturday,23.333333333333332,Moderate
8,13,6,421,22,67,83198,706,23,11,1,Saturday,26.666666666666668,Moderate
7,12,6,422,21,69,83178,669,0,12,1,Sunday,23.333333333333332,Moderate
6,12,5,420,21,69,83213,609,1,12,1,Sunday,20.0,Moderate
6,11,5,424,21,69,83219,605,2,12,1,Sunday,20.0,Moderate
6,11,5,439,20,69,83231,620,3,12,1,Sunday,20.0,Moderate
7,11,6,446,21,69,83285,650,4,12,1,Sunday,23.333333333333332,Moderate
9,15,7,420,23,62,83347,860,5,12,1,Sunday,30.0,Unhealthy for Sensitive Groups
8,12,6,409,26,52,83360,715,6,12,1,Sunday,26.666666666666668,Moderate
7,11,6,407,28,46,83312,664,7,12,1,Sunday,23.333333333333332,Moderate
6,10,5,405,30,42,83237,600,8,12,1,Sunday,20.0,Moderate
6,9,5,406,31,35,83154,557,9,12,1,Sunday,20.0,Moderate
5,8,4,405,31,31,83048,481,10,12,1,Sunday,16.666666666666664,Moderate
6,10,5,405,31,32,82945,566,11,12,1,Sunday,20.0,Moderate
7,12,6,407,29,35,82875,625,12,12,1,Sunday,23.333333333333332,Moderate
7,13,6,405,29,38,82857,671,13,12,1,Sunday,23.333333333333332,Moderate
7,13,6,406,27,41,82879,673,14,12,1,Sunday,23.333333333333332,Moderate
8,15,6,411,26,41,82934,685,15,12,1,Sunday,26.666666666666668,Moderate
12,22,9,420,25,45,83023,1092,16,12,1,Sunday,40.0,Unhealthy for Sensitive Groups
11,19,9,419,24,52,83099,1033,17,12,1,Sunday,36.666666666666664,Unhealthy for Sensitive Groups
14,22,11,418,24,56,83166,1233,18,12,1,Sunday,46.666666666666664,Unhealthy for Sensitive Groups
14,24,11,420,23,59,83204,1290,19,12,1,Sunday,46.666666666666664,Unhealthy for Sensitive Groups
13,21,10,421,23,61,83211,1138,20,12,1,Sunday,43.333333333333336,Unhealthy for Sensitive Groups
10,17,8,421,22,64,83189,920,21,12,1,Sunday,33.33333333333333,Unhealthy for Sensitive Groups
9,15,7,422,22,64,83159,821,22,12,1,Sunday,30.0,Unhealthy for Sensitive Groups
8,13,6,420,22,64,83104,713,23,12,1,Sunday,26.666666666666668,Moderate
8,13,6,421,22,64,83066,705,0,13,1,Monday,26.666666666666668,Moderate
7,12,6,420,21,64,83054,697,1,13,1,Monday,23.333333333333332,Moderate
7,12,6,433,21,66,83078,693,2,13,1,Monday,23.333333333333332,Moderate
9,14,7,446,20,67,83138,825,3,13,1,Monday,30.0,Unhealthy for Sensitive Groups
18,28,13,460,22,64,83197,1596,4,13,1,Monday,60.0,Unhealthy
15,25,11,427,25,56,83244,1343,5,13,1,Monday,50.0,Unhealthy
9,16,7,409,27,49,83234,841,6,13,1,Monday,30.0,Unhealthy for Sensitive Groups
9,16,7,408,28,44,83209,805,7,13,1,Monday,30.0,Unhealthy for Sensitive Groups
8,15,6,406,30,39,83144,714,8,13,1,Monday,26.666666666666668,Moderate
8,14,6,404,31,35,83064,691,9,13,1,Monday,26.666666666666668,Moderate
